batch_id,day_no,topic,key_notes,status,review_decision,review_note
2,1,Ôn tập số học và đại số cơ bản,"Phép toán cơ bản, biểu thức, rút gọn và giải phương trình bậc nhất.",pending,approve,
2,2,Hàm số và đồ thị,"Khái niệm hàm số, đồ thị y=f(x), nghiệm và biến đổi giản đơn của đồ thị.",pending,approve,
2,3,Hệ phương trình và bất phương trình,Giải hệ tuyến tính nhỏ và xử lý bất phương trình cơ bản.,pending,approve,
2,4,Tọa độ và hình học phẳng cơ bản,"Hệ trục tọa độ, khoảng cách, trung điểm và phương trình đường thẳng.",pending,approve,
2,5,Vector trong mặt phẳng và không gian,"Định nghĩa vector, phép cộng, nhân scala và hình ảnh địa lý cơ bản.",pending,approve,
2,6,Ma trận và biểu diễn tuyến tính,"Khái niệm ma trận, phép cộng, nhân ma trận và ma trận đối xứng.",pending,approve,
2,7,Định thức và ma trận nghịch đảo,"Tính định thức nhỏ, ma trận nghịch đảo và ứng dụng trong giải hệ tuyến tính.",pending,approve,
2,8,Hạng ma trận và độc lập tuyến tính,"Hạng, không gian cột, không gian hàng và ý nghĩa độc lập tuyến tính.",pending,approve,
2,9,Eigenvalues và eigenvectors (khái quát),Ý tưởng giá trị riêng và vectơ riêng cùng ứng dụng sơ bộ trong giảm kích thước.,pending,approve,
2,10,SVD và trực quan hóa ma trận,"Khái niệm SVD, ý nghĩa trực quan và dùng cho phân tích dữ liệu.",pending,approve,
2,11,Giới hạn và liên tục,"Khái niệm giới hạn, liên tục của hàm và ví dụ trực quan.",pending,approve,
2,12,Đạo hàm và ý nghĩa hình học,"Đạo hàm một biến, hệ số góc tiếp tuyến và vận tốc thay đổi.",pending,approve,
2,13,Luật chuỗi và đa biến cơ bản,"Đạo hàm theo chuỗi, đạo hàm riêng và ý tưởng hàm nhiều biến.",pending,approve,
2,14,Gradient và hướng tăng nhanh nhất,"Gradient, hướng tăng/giảm nhanh nhất và ứng dụng tối ưu hóa.",pending,approve,
2,15,Xấp xỉ Taylor và tối ưu cục bộ,"Chuỗi Taylor bậc thấp, cực trị và bài toán tối ưu cục bộ.",pending,approve,
2,16,Tích phân cơ bản và trực quan,"Ý nghĩa tích phân, diện tích dưới đường cong và tích phân xác suất cơ bản.",pending,approve,
2,17,Giới thiệu xác suất,"Không gian mẫu, biến cố, xác suất và luật cơ bản.",pending,approve,
2,18,Biến ngẫu nhiên và phân phối,Biến ngẫu nhiên rời rạc/ liên tục và các phân phối hay gặp.,pending,approve,
2,19,Kỳ vọng và phương sai,"Kỳ vọng, phương sai, độ lệch chuẩn và ý nghĩa thống kê.",pending,approve,
2,20,Xác suất có điều kiện và định lý Bayes,"Xác suất có điều kiện, độc lập và ứng dụng định lý Bayes.",pending,approve,
2,21,Phân phối chuẩn và định lý giới hạn trung tâm,Phân phối Gaussian và ý nghĩa định lý giới hạn trung tâm trong ước lượng.,pending,approve,
2,22,Thống kê mô tả và trực quan hóa dữ liệu,"Trung bình, trung vị, percentiles và biểu đồ cơ bản để tường minh dữ liệu.",pending,approve,
2,23,Lấy mẫu và ước lượng,"Mẫu ngẫu nhiên, sai số mẫu và khoảng tin cậy cơ bản.",pending,approve,
2,24,Kiểm định giả thuyết cơ bản,"Ý tưởng kiểm định, p-value và ví dụ kiểm định đơn giản.",pending,approve,
2,25,Tương quan và nguyên nhân,"Hệ số tương quan, giới hạn của tương quan và phân biệt với nhân quả.",pending,approve,
2,26,Giới thiệu Python cho khoa học dữ liệu,"Cài đặt môi trường, cú pháp cơ bản và chạy script đầu tiên.",pending,approve,
2,27,Numpy: đại số tuyến tính trong Python,"Mảng numpy, phép toán ma trận và thao tác hiệu quả.",pending,approve,
